0_Geographic entity;1_Area (km 2 );2_Notes
[Kyrgyzstan|Kyrgyzstan];199,900;Country in Central Asia.
[South_Dakota|South Dakota];199,731;State of the United States.
[Paraná_(state)|Paraná];199,315;State of Brazil.
[Cuando_Cubango_Province|Cuando Cubango Province];199,049;Second largest province of Angola.
[Senegal|Senegal];196,722;Country in Africa.
[Gujarat|Gujarat];196,024;State of India.
[Kostanay_Region|Kostanay Province];196,000;Province of Kazakhstan.
[Yemen_Arab_Republic|North Yemen];195,000;[Yemen|Yemen]
[Sverdlovsk_Oblast|Sverdlovsk Oblast];194,800;Federal subject of Russia.
[Karnataka|Karnataka];191,791;State of India.
[Kingdom_of_the_Lombards|Kingdom of the Lombards];189,418;A Germanic Kingdom in northern Italy, lasting from 568-774.
[Hebei|Hebei];187,700;Province of China.
[Jilin|Jilin];187,400;Province of China.
[Hubei|Hubei];185,900;Province of China.
[Syria|Syria];185,180;[Golan_Heights|Golan Heights]
[Washington_(state)|Washington];184,665;State of the United States.
[Syria|Syria];183,885;[Golan_Heights|Golan Heights]
[North_Dakota|North Dakota];183,112;State of the United States.
[Hodh_Ech_Chargui_Region|Hodh Ech Chargui];182,700;Third largest region of Mauritania.
[Sonora|Sonora];182,052;State of Mexico.
[Sistan_and_Baluchestan_Province|Sistan and Baluchestan Province];181,785;Largest province of Iran.
[Oklahoma|Oklahoma];181,035;State of the United States.
[Cambodia|Cambodia];181,035;Country in Southeast Asia.
[Kerman_Province|Kerman Province];180,836;Second largest province of Iran.
[Missouri|Missouri];180,533;State of the United States.
[Amazonas,_Venezuela|Amazonas (Venezuelan state)];180,145;Second largest state of Venezuela.
[Guangdong|Guangdong];180,000;Province of China.
[Novosibirsk_Oblast|Novosibirsk Oblast];178,200;Federal subject of Russia.
[Nenets_Autonomous_Okrug|Nenets Autonomous Okrug];176,700;[Arkhangelsk_Oblast|Arkhangelsk Oblast]
[Somaliland|Somaliland];176,210;Historic region of Somalia.
[Guizhou|Guizhou];176,000;Province of China.
[Uruguay|Uruguay];175,016;Country in South America.
[Rift_Valley_Province|Rift Valley Province];173,854;Largest province of Kenya.
[Medina|Al Madinah];173,000;Third largest province of Saudi Arabia.
[Republic_of_Karelia|Republic of Karelia];172,400;Federal subject of Russia.
[Gao_Region|Gao Region];170,572;Second largest region of Mali.
[Tuva|Tuva Republic];170,500;Federal subject of Russia.
[Florida|Florida];170,304;State of the United States.
[Kasai-Oriental|Kasai-Oriental];170,302;Province of the Democratic Republic of the Congo.
[Wisconsin|Wisconsin];169,639;State of the United States.
[Altai_Krai|Altai Krai];169,100;Federal subject of Russia.
[Eastern_Cape|Eastern Cape];168,966;Second largest province of South Africa.
[Hadhramaut_Governorate|Hadhramaut Governorate];167,280;Largest governorate of Yemen.
[Jiangxi|Jiangxi];167,000;Province of China.
[Henan|Henan];167,000;Province of China.
[Primorsky_Krai|Primorsky Krai];165,900;Federal subject of Russia.
[Mangystau_Region|Mangystau Province];165,600;Province of Kazakhstan.
[Karakalpakstan|Karakalpakstan];165,600;Largest province of Uzbekistan.
[Ömnögovi_Province|Ömnögovi];165,400;Largest aimag of Mongolia.
[Córdoba_Province,_Argentina|Córdoba];165,321;Province of Argentina.
[Burgundians|Burgundians];164,166;A Germanic Kingdom in west-central France, lasting from 411-533.
[Makkah_Region|Makkah Province];164,000;Province of Saudi Arabia.
[Suriname|Suriname];163,820;Country in South America.
[Tunisia|Tunisia];163,610;Country in Africa.
[Béchar_Province|Béchar Province];162,200;Province of Algeria.
[Toliara_Province|Toliara Province];161,405;Largest Province of Madagascar.
[ǁKaras_Region|Karas Region];161,215;Largest region of Namibia.
